pop	sample	records	primary_kept	kept_frac	primary_kept_read2	primary_disc_mapq	primary_disc_sclip	unmapped	secondary	supplementary
lb	lb_f_304	17296723	14459379	0.836	7142149	1071984	936683	448700	0	379977
lb	lb_f_305	14014108	11454062	0.817	5642230	865570	952511	422599	0	319366
lb	lb_f_306	26965654	22942245	0.851	11379028	1673878	1164293	731690	0	453548
lb	lb_f_307	96070	72029	0.750	35559	5662	6013	10664	0	1702
lb	lb_f_308	7194970	6049696	0.841	3015657	438052	392370	169810	0	145042
lb	lb_f_309	7785492	6302386	0.810	3086072	531190	535702	227776	0	188438
lb	lb_f_310	7236388	5654954	0.781	2790759	472747	491972	497829	0	118886
lb	lb_f_311	6616054	5596286	0.846	2752118	367252	345559	206529	0	100428
lb	lb_f_312	4232574	3450878	0.815	1671673	279517	315130	102515	0	84534
lb	lb_f_313	21041166	17880891	0.850	8898672	1317543	937255	545987	0	359490
lb	lb_f_314	18985611	15687594	0.826	7710022	1203072	1221994	506310	0	366641
lb	lb_f_315	28946888	24748613	0.855	12324317	1581494	1312762	812841	0	491178
lb	lb_f_317	18938148	16185977	0.855	8071648	1027248	922183	454392	0	348348
lb	lb_f_319	8507722	6988607	0.821	3423703	606739	532672	218736	0	160968
lb	lb_f_33	15283875	12964593	0.848	6461021	899998	711606	452417	0	255261
lb	lb_f_41	15336489	12836536	0.837	6390256	948947	856322	336811	0	357873
lb	lb_f_49	12965236	10674528	0.823	5310859	908180	718359	337513	0	326656
lb	lb_f_57	22315285	18593016	0.833	9242386	1375977	1244942	543249	0	558101
lb	lb_f_73	31310047	26713942	0.853	13278943	1987019	1324941	820464	0	463681
lb	lb_f_81	9488027	7498477	0.790	3744766	610489	796827	235933	0	346301
lb	lb_f_89	13071531	10920267	0.835	5374901	792326	759567	360680	0	238691
lb	lb_f_90	23745725	20137843	0.848	10067695	1418751	1150596	580674	0	457861
lb	lb_f_91	15292384	12051652	0.788	6013048	991538	1293921	366305	0	588968
lb	lb_f_92	11843038	9964248	0.841	4861857	666477	651998	361773	0	198542
lb	lb_f_93	18663352	15614165	0.837	7683139	1120725	1062788	522186	0	343488
lb	lb_f_94	20001814	16516643	0.826	8073984	1164885	1400687	552853	0	366746
lb	lb_f_95	15078608	12647448	0.839	6285347	955757	759730	363863	0	351810
lb	lb_f_96	10229429	8190292	0.801	4039705	645433	790209	279718	0	323777
lb	lb_f_97	14789892	12213381	0.826	5989316	866509	1039135	371143	0	299724
lb	lb_f_98	20669168	16935701	0.819	8289665	1276614	1398745	593048	0	465060
lb	lb_f_99	24063036	19074273	0.793	9060921	1646966	1941317	878376	0	522104
lb	lb_s_1	8916345	5636937	0.632	2942034	693665	1401955	293311	0	890477
lb	lb_s_10	16938705	14366833	0.848	7210816	969051	862880	397372	0	342569
lb	lb_s_100	19516654	16241286	0.832	8052022	1309921	1029564	514825	0	421058
lb	lb_s_101	15498007	12588691	0.812	6153335	905361	1202596	491494	0	309865
lb	lb_s_102	19136217	15653883	0.818	7561292	1235688	1380309	497914	0	368423
lb	lb_s_103	18819304	15475335	0.822	7563358	1100276	1348584	546433	0	348676
lb	lb_s_104	23716651	20074710	0.846	10011228	1386945	1181164	612937	0	460895
lb	lb_s_105	20239336	16648168	0.823	8155162	1313454	1345662	538644	0	393408
