sample	n_loci	n_used_fw_reads	mean_cov	mean_cov_ns	n_unpaired_reads	n_pcr_dupl_pairs	pcr_dupl_rate
bb_f_24	487693	5266283	10.798	11.572	590716	1362178	0.206
bb_f_240	398443	1119496	2.810	2.921	404537	1724210	0.606
bb_f_241	428773	5196346	12.119	12.757	646015	1715849	0.248
bb_f_242	425731	4244982	9.971	10.541	503830	828380	0.163
bb_f_243	422698	4854735	11.485	12.131	627989	1497870	0.236
bb_f_244	507051	7772569	15.329	16.508	1362119	2084869	0.212
bb_f_245	373953	5173994	13.836	14.515	942595	1635509	0.240
bb_f_246	435889	4645845	10.658	11.260	421599	1017525	0.180
bb_f_247	392584	5382601	13.711	14.405	706846	1203113	0.183
bb_f_248	392148	1834207	4.677	4.838	206054	300403	0.141
bb_f_249	497830	7494447	15.054	16.167	720408	2021552	0.212
bb_f_25	496166	8527230	17.186	18.561	1839855	2037530	0.193
bb_f_251	494646	6628489	13.400	14.365	615704	1657980	0.200
bb_f_253	491678	4876047	9.917	10.686	863888	962408	0.165
bb_f_254	431458	4442568	10.297	10.869	504729	826807	0.157
bb_f_255	416947	4561789	10.941	11.491	585720	1392391	0.234
bb_f_256	505256	7718942	15.277	16.448	974815	1743481	0.184
bb_f_257	509924	4974929	9.756	10.696	1063736	945738	0.160
bb_f_259	494633	3426464	6.927	7.358	310181	964205	0.220
bb_f_26	18492	19342	1.046	1.046	3136	3135	0.139
bb_f_260	427329	4640025	10.858	11.434	387862	1025344	0.181
bb_f_261	484197	3908672	8.072	8.623	498634	996386	0.203
bb_f_262	422587	4646403	10.995	11.579	540372	885619	0.160
bb_f_263	494732	6247731	12.629	13.407	866845	1231442	0.165
bb_f_264	498592	5127256	10.283	11.059	753784	1175026	0.186
bb_f_265	343578	1801650	5.244	5.393	184836	544639	0.232
bb_f_266	412378	4611049	11.182	11.742	578749	1501943	0.246
bb_f_268	500912	8468327	16.906	18.188	1363319	2061052	0.196
bb_f_269	350521	2160788	6.165	6.363	189100	598077	0.217
bb_f_27	509313	6625960	13.010	14.107	1467439	1791462	0.213
bb_f_270	497585	5805608	11.668	12.559	1030220	1347046	0.188
bb_f_271	418667	3295842	7.872	8.250	402579	846270	0.204
bb_f_272	183803	587046	3.194	3.349	241772	2372426	0.802
bb_f_273	2168	2175	1.003	1.004	238	206	0.087
bb_f_275	465048	2059974	4.430	4.672	237721	578011	0.219
bb_f_276	498435	6245619	12.530	13.515	716753	1436286	0.187
bb_f_277	42527	45256	1.064	1.067	7211	1248	0.027
bb_f_278	411171	6562707	15.961	16.866	576124	1750574	0.211
bb_f_279	477978	2904219	6.076	6.521	627814	484407	0.143
bb_f_28	502840	5921924	11.777	12.676	1048734	1373456	0.188
bb_f_281	492536	5410894	10.986	11.779	494646	1214112	0.183
bb_f_282	383806	975218	2.541	2.639	280771	1510534	0.608
bb_f_284	374718	7273153	19.410	20.499	581661	2899946	0.285
bb_f_286	492612	5096951	10.347	11.080	557343	1113665	0.179
