sample	n_loci	n_used_fw_reads	mean_cov	mean_cov_ns	n_unpaired_read	n_pcr_dupl_pairs	pcr_dupl_rate	records	primary_kept	kept_frac	primary_kept_read2	primary_disc_mapq	primary_disc_sclip	unmapped	secondary	supplementary
bb_s_81	428064	7070039	16.516	17.276	1366758	1577067	0.182	23510614	19077965	0.811	9064101	1532669	1599770	923410	0	376800
bb_s_86	499640	7578448	15.168	16.11	914375	2358079	0.237	26324602	21566615	0.819	10715713	1815171	1535235	665655	0	741926
bb_s_89	452445	4796435	10.601	11.169	854736	867987	0.153	15405232	12468589	0.809	5949431	1013458	1034956	618363	0	269866
cl_f_119	505720	4979088	9.846	10.518	528078	949111	0.16	15466468	12814611	0.829	6358334	1042210	829149	382372	0	398126
cl_f_12	483565	5085604	10.517	11.032	587756	1305889	0.204	16864967	13873234	0.823	6893985	1156302	960837	417321	0	457273
cl_f_121	431887	6465806	14.971	15.633	590037	1541763	0.193	20142661	17104630	0.849	8507024	1169441	987154	521285	0	360151
cl_f_126	423814	6689395	15.784	16.426	601990	1619733	0.195	20925586	17735115	0.848	8823997	1244881	1012247	566313	0	367030
cl_f_139	447425	6956387	15.548	16.28	1283184	1509499	0.178	22915617	18643881	0.814	8894811	1436797	1576853	854613	0	403473
cl_f_141	467290	2230415	4.773	4.968	724109	4100528	0.648	18013561	14079479	0.782	7024427	1283315	1516863	424893	0	709011
cl_f_142	486479	5286085	10.866	11.424	586034	1384818	0.208	17477309	14433492	0.826	7176555	1218700	964222	405772	0	455123
cl_f_146	496258	3725970	7.508	7.933	730190	2663065	0.417	17494982	14014988	0.801	6895763	1212734	1297529	495963	0	473768
cl_f_148	500592	4940653	9.87	10.338	460677	933214	0.159	14943141	12604862	0.844	6270318	999426	716737	344765	0	277351
cl_f_154	447101	6787130	15.18	15.897	1319870	1436295	0.175	22382877	18174644	0.812	8631349	1411604	1529580	888768	0	378281
cl_f_155	477350	2582557	5.41	5.664	616813	2947538	0.533	15487759	12236564	0.79	6089656	1101238	1251899	391311	0	506747
cl_f_159	491587	4956358	10.082	10.643	646644	1532907	0.236	17054026	14061283	0.825	6925374	1033724	1129948	464427	0	364644
